t,i,e,pref
1617734551.7322,I0,1.7235,I0=1.723474_I1=1.289262
1617734551.8483,I0,1.7013,I0=1.701297_I1=1.288882
1617734552.0168,I0,1.6737,I0=1.673688_I1=1.281037
1617734552.0973,I0,1.6183,I0=1.618285_I1=1.264670
1617734552.1830,I0,1.6572,I0=1.657187_I1=1.285192
1617734552.2981,I0,1.6572,I0=1.657187_I1=1.285192
1617734552.3486,I0,1.8269,I0=1.826903_I1=1.262110
1617734552.4823,I0,1.8269,I0=1.826903_I1=1.262110
1617734552.5831,I0,2.0496,I0=2.049642_I1=1.205499
1617734552.6984,I0,2.0496,I0=2.049642_I1=1.205499
1617734552.8331,I0,2.3151,I0=2.315137_I1=1.119830
1617734553.0152,I0,2.4406,I0=2.440646_I1=1.168625
1617734553.0988,I0,2.8154,I0=2.815441_I1=1.122599
1617734553.1987,I0,2.8950,I0=2.894988_I1=1.205468
1617734553.2861,I0,3.1040,I0=3.104050_I1=1.296998
1617734553.3982,I0,3.1040,I0=3.104050_I1=1.296998
1617734553.5034,I0,3.2105,I0=3.210515_I1=1.328120
1617734553.5988,I0,3.5315,I0=3.531475_I1=1.304618
1617734553.6812,I0,3.6844,I0=3.684377_I1=1.258123
1617734553.8172,I0,3.6844,I0=3.684377_I1=1.258123
1617734554.3155,I0,4.1415,I0=4.141491_I1=0.606743
1617734554.9990,I0,7.2208,I0=7.220810_I2=0.242374
1617734555.0653,I3,0.5227,I2=0.962918_I3=0.522726
1617734555.1836,I3,0.4408,I2=0.958488_I3=0.440793
1617734555.2657,I3,0.3070,I2=0.771484_I3=0.306973
1617734555.3825,I1,0.7285,I1=0.728454_I2=0.538405
1617734555.4984,I2,0.0878,I1=1.093630_I2=0.087757
1617734555.5988,I3,-0.0539,I1=1.362876_I3=-0.053942
1617734555.6813,I3,-0.0539,I1=1.362876_I3=-0.053942
1617734555.7490,I3,-0.0270,I1=1.488662_I3=-0.027036
1617734555.8651,I3,0.0729,I1=1.449573_I3=0.072902
1617734555.9649,I1,1.3188,I1=1.318849_I2=0.229585
1617734556.0663,I1,0.9871,I1=0.987051_I2=0.385280
1617734556.1816,I1,0.4039,I2=0.544053_I1=0.403907
1617734556.2817,I3,0.5119,I2=0.789202_I3=0.511858
1617734556.4320,I3,0.5119,I2=0.789202_I3=0.511858
1617734556.5315,I2,0.8518,I2=0.851770_I3=0.617148
1617734556.6152,I2,0.6481,I2=0.648148_I3=0.362077
1617734556.7806,I2,0.3382,I2=0.338151_I3=0.104796
1617734556.8316,I3,-0.1427,I1=0.795460_I3=-0.142678
1617734556.9154,I1,0.7955,I1=0.795460_I3=-0.142678
1617734556.9876,I1,0.8982,I1=0.898248_I3=-0.104932
1617734557.0495,I1,0.8639,I1=0.863927_I3=-0.047449
1617734557.1688,I1,0.7467,I1=0.746731_I3=0.046069
1617734557.2153,I2,-0.4730,I2=-0.472993
1617734557.3656,I1,0.5150,I1=0.515009_I3=0.180360
1617734557.4810,I1,0.6202,I1=0.620166_I3=0.134797
1617734557.5657,I1,0.7423,I1=0.742267_I3=0.078057
1617734557.6654,I1,0.9224,I1=0.922365_I2=0.194634
1617734557.7655,I1,1.0416,I1=1.041585_I2=0.333119
1617734557.8820,I1,0.8605,I1=0.860464_I2=0.530010
1617734557.9983,I1,0.8608,I1=0.860775_I2=0.808886
1617734558.2306,I1,0.9323,I2=1.053717_I1=0.932282
1617734558.3144,I1,1.0662,I2=1.253867_I1=1.066223
1617734558.5983,I1,1.1327,I2=1.258311_I1=1.132702
1617734558.6658,I2,-0.1106,I1=1.491401_I2=-0.110633
1617734558.7851,I2,-0.5090,I1=1.423705_I2=-0.509046
1617734558.8815,I1,1.2465,I1=1.246492_I2=-0.210539
1617734558.9163,I1,1.0702,I1=1.070233
1617734559.0875,I1,0.6004,I1=0.600384_I2=0.353526
1617734559.1813,I1,1.1213,I1=1.121294_I2=0.740119
1617734559.2691,I1,1.4600,I1=1.460048_I2=0.812540
1617734559.3152,I1,1.5723,I1=1.572278
1617734559.4186,I1,1.5802,I1=1.580198
1617734559.5824,I1,1.5207,I1=1.520684_I2=0.789815
1617734559.6157,I1,1.4551,I1=1.455080
1617734559.7834,I1,1.4528,I1=1.452770_I2=0.461188
1617734559.8830,I1,1.5120,I1=1.511982_I2=0.347167
1617734559.9824,I1,1.4185,I1=1.418543_I2=0.337435
1617734560.0729,I1,1.5140,I1=1.514037_I2=0.371669
1617734560.2650,I1,1.6053,I1=1.605270_I2=0.351689
1617734560.3807,I1,1.7549,I1=1.754946_I2=0.561810
1617734560.4825,I1,1.9366,I1=1.936575_I2=0.716547
1617734560.5819,I2,0.6797,I1=2.113760_I2=0.679662
1617734560.8642,I2,0.9507,I1=2.189555_I2=0.950664
1617734561.0829,I1,2.3210,I1=2.321031_I2=1.686584
1617734561.3150,I1,2.3639,I1=2.363904_I2=1.763129
1617734561.4148,I1,2.8974,I1=2.897439_I2=1.197027
1617734561.4816,I1,3.1113,I1=3.111347
1617734561.5320,I1,3.3041,I1=3.304060
1617734561.6305,I1,3.3041,I1=3.304060
1617734561.7153,I1,3.4141,I1=3.414086
1617734561.7816,I1,3.4619,I1=3.461893
1617734561.8319,I1,3.4398,I1=3.439766
1617734561.9140,I1,3.3944,I1=3.394394
1617734562.0158,I1,3.3465,I1=3.346531
1617734562.1159,I1,3.3270,I1=3.326960
1617734562.1981,I1,3.3251,I1=3.325120
1617734562.2981,I1,3.3226,I1=3.322623
